epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.45038607716560364,0.0010000000474974513,1.4234899282455444,0.5550082325935364,1.1199363470077515
1,0.5266962647438049,0.0010000000474974513,1.187910795211792,0.540229856967926,1.0865684747695923
2,0.5441925525665283,0.0010000000474974513,1.1389209032058716,0.5763546824455261,1.0028753280639648
3,0.5620995759963989,0.0010000000474974513,1.0905283689498901,0.5796387791633606,1.0057350397109985
4,0.5761458873748779,0.0010000000474974513,1.0459530353546143,0.633004903793335,0.9158342480659485
5,0.5791029930114746,0.0010000000474974513,1.0340116024017334,0.6247947216033936,0.9201139211654663
6,0.592163622379303,0.0010000000474974513,1.006604552268982,0.6198686361312866,0.9254724383354187
7,0.60588139295578,0.0010000000474974513,0.9706875681877136,0.6182265877723694,0.9096125364303589
8,0.6011992692947388,0.0010000000474974513,0.975847065448761,0.6412150859832764,0.906639575958252
9,0.6140134930610657,0.0010000000474974513,0.9409511685371399,0.651888370513916,0.8751632571220398
10,0.6238705515861511,0.0010000000474974513,0.9309450387954712,0.6133005023002625,0.9038238525390625
11,0.6131098866462708,0.0010000000474974513,0.9295307397842407,0.6650246381759644,0.845349133014679
12,0.6223098635673523,0.0010000000474974513,0.915783166885376,0.6387520432472229,0.8984098434448242
13,0.6261705160140991,0.0010000000474974513,0.9081542491912842,0.6444991827011108,0.8544520139694214
14,0.6358633041381836,0.0010000000474974513,0.8961649537086487,0.651067316532135,0.83822101354599
15,0.631838321685791,0.0010000000474974513,0.8933975696563721,0.6592774987220764,0.8262670636177063
16,0.637177586555481,0.0010000000474974513,0.8757951259613037,0.6576354503631592,0.8375242948532104
17,0.6288812160491943,0.0010000000474974513,0.8969312906265259,0.6371099948883057,0.8547723889350891
18,0.6346311569213867,0.0010000000474974513,0.8829902410507202,0.6609195470809937,0.8458107709884644
19,0.6350418925285339,0.0010000000474974513,0.8789000511169434,0.6592774987220764,0.8398831486701965
20,0.6613274216651917,0.0005000000237487257,0.8148264288902283,0.674876868724823,0.781701385974884
21,0.6690487861633301,0.0005000000237487257,0.7836989760398865,0.6822659969329834,0.8033860921859741
22,0.6783308982849121,0.0005000000237487257,0.7805318236351013,0.6929392218589783,0.7565358877182007
23,0.6857236623764038,0.0005000000237487257,0.7660689353942871,0.697044312953949,0.7581542730331421
24,0.6869558095932007,0.0005000000237487257,0.7577491402626038,0.6954023241996765,0.766444742679596
25,0.6900771856307983,0.0005000000237487257,0.7458637952804565,0.6888341307640076,0.7666993141174316
