epoch,auc,binary_accuracy,learning_rate,loss,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.7217559218406677,0.6779108643531799,0.0010000000474974513,0.647202730178833,0.650310754776001,0.664660632610321,0.8941718339920044,0.8208020925521851,0.5479444265365601,0.7949438095092773,0.801699697971344
1,0.850426971912384,0.7968289852142334,0.0010000000474974513,0.450309157371521,0.7875683307647705,0.7709795832633972,0.927332878112793,0.8408521413803101,0.4620888829231262,0.7839195728302002,0.8838527202606201
2,0.8797067999839783,0.8148607611656189,0.0010000000474974513,0.4091964364051819,0.8140265345573425,0.7800067067146301,0.9331738352775574,0.8496240973472595,0.4254550635814667,0.8057742714881897,0.8696883916854858
3,0.8939566016197205,0.8294731378555298,0.0010000000474974513,0.38092389702796936,0.8234289884567261,0.806084930896759,0.9450283646583557,0.8408521413803101,0.39192238450050354,0.7783251404762268,0.8951841592788696
4,0.9147972464561462,0.8440853357315063,0.0010000000474974513,0.34149685502052307,0.8404109477996826,0.8204613924026489,0.9482894539833069,0.8558896780014038,0.36543330550193787,0.8051282167434692,0.8895184397697449
5,0.9248150587081909,0.8586971759796143,0.0010000000474974513,0.3204500079154968,0.8565068244934082,0.8361752033233643,0.958687961101532,0.864661693572998,0.33565986156463623,0.8215222954750061,0.8866855502128601
6,0.9347540736198425,0.868956983089447,0.0010000000474974513,0.2967066466808319,0.8579999804496765,0.8605817556381226,0.9608513116836548,0.8784462213516235,0.30626341700553894,0.8333333134651184,0.9065155982971191
7,0.943427562713623,0.8776620626449585,0.0010000000474974513,0.2787695825099945,0.8755964636802673,0.858910083770752,0.9670712351799011,0.882205605506897,0.27924293279647827,0.8363636136054993,0.9121813178062439
8,0.9520190358161926,0.8911861181259155,0.0010000000474974513,0.2567477822303772,0.8937779068946838,0.8692744970321655,0.9665420651435852,0.8984963297843933,0.25998857617378235,0.8655914068222046,0.9121813178062439
9,0.9520555138587952,0.8922744393348694,0.0010000000474974513,0.25851744413375854,0.8918826580047607,0.8742895126342773,0.976186215877533,0.9135338664054871,0.22576044499874115,0.8817204236984253,0.9291784763336182
10,0.9552893042564392,0.8969377279281616,0.0010000000474974513,0.25091198086738586,0.8908663392066956,0.8869943022727966,0.9789496660232544,0.9248120784759521,0.2008417248725891,0.9013698697090149,0.9320113062858582
11,0.9593834280967712,0.898647665977478,0.0010000000474974513,0.2384001612663269,0.8925814032554626,0.8890003561973572,0.9797778725624084,0.9323309063911438,0.18400047719478607,0.9259259104728699,0.9206798672676086
12,0.9653714299201965,0.9104618430137634,0.0010000000474974513,0.2178061455488205,0.9039812684059143,0.9033768177032471,0.9795555472373962,0.9335839748382568,0.1843918412923813,0.9166666865348816,0.9348441958427429
13,0.9657076597213745,0.9092180728912354,0.0010000000474974513,0.21520431339740753,0.9026430249214172,0.9020394682884216,0.9858853220939636,0.9486215710639954,0.1636626422405243,0.9382022619247437,0.9461756348609924
14,0.9716963171958923,0.9219650030136108,0.0010000000474974513,0.1976454108953476,0.9183193445205688,0.9134069085121155,0.9821996092796326,0.9411028027534485,0.16222040355205536,0.9346590638160706,0.9320113062858582
15,0.9702419638633728,0.9204105138778687,0.0010000000474974513,0.1982058435678482,0.9186086058616638,0.9093948602676392,0.9835325479507446,0.9498746991157532,0.15012110769748688,0.945868968963623,0.9405099153518677
16,0.9778515696525574,0.9235193133354187,0.0010000000474974513,0.17854270339012146,0.9211324453353882,0.9137412309646606,0.9851127862930298,0.9398496747016907,0.1464015394449234,0.9320113062858582,0.9320113062858582
17,0.9772199988365173,0.9278720617294312,0.0010000000474974513,0.17829537391662598,0.9281599521636963,0.9157472252845764,0.9858974814414978,0.9598997831344604,0.1358201801776886,0.9598853588104248,0.9490085244178772
